marca,linha,modelo,arcada,tipo,canino_a_canino,altura_mm,largura_mm,formato
Kulzer,Magister,A451,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,A460,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,A468,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,A485,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,A490,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,A520,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,L423,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,L425,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,L436,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,L438,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,L447,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,L452,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,L480,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,P426,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,P432,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,P448,Superior,Anterior,0,0,0,Anatomico
Kulzer,Magister,P475,Superior,Anterior,0,0,0,Anatomico
